,precision,recall,f1-score,support,accuracy_global
0,0.0,0.0,0.0,0.0,0.12
1,0.41379310344827586,0.24,0.3037974683544304,50.0,0.12
2,1.0,0.06,0.11320754716981132,50.0,0.12
3,0.25,0.02,0.037037037037037035,50.0,0.12
4,0.4444444444444444,0.16,0.23529411764705882,50.0,0.12
accuracy,0.12,0.12,0.12,0.12,0.12
macro avg,0.4216475095785441,0.096,0.1378672340416675,200.0,0.12
weighted avg,0.52705938697318,0.12,0.17233404255208437,200.0,0.12
mean_epr_global,mean_epr_class_1,mean_epr_class_2,mean_epr_class_3,mean_epr_class_4
0.03481939693850118,0.024143322698514717,0.03183672391536117,0.04617935762588957,0.03711818351423926
